school_id,display_name,mascot_name,color1,color1_name,color2,color2_name,color3,color3_name,mascot_file_name
302,Washington Township,Minutemen,#0D2C89,Navy,#CF0A2C,Red,#FFFFFF,White,Patriot.svg
147,Watchung Hills,Warriors,#503604,Dark Brown,#C8880A,Gold,#FFFFFF,White,Indian 2.svg
38,Wayne Hills,Patriots,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Patriot.svg
68,Wayne Valley,Indians,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Indian 1.svg
99,Weehawken High School,Indians,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Indian 1.svg
245,West Deptford,Eagles,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Eagle 1.svg
39,West Essex,Knights,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Knight.svg
29,West Milford,Highlanders,#231F20,Black,#FED604,Yellow,#FFFFFF,White,Tartan_2.svg
108,West Morris,Wolfpack,#9ACEEB,Columbia Blue,#000080,Navy,#808080,Gray,Minuteman.svg
109,West Orange,Mountaineers,#8F0018,Maroon,#FFFFFF,White,#000000,Black,Mountaineer_2.svg
176,West Windsor-Plainsboro North,Knights,#022C66,Navy,#737272,Gray,#FFFFFF,White,Knight.svg
177,West Windsor-Plainsboro South,Pirates,#00824B,Kelly Green,#C8880A,Gold,#FFFFFF,White,Pirate 2.svg
256,Westampton Tech,Panthers,#022C66,Navy,#454444,Gray,#FFFFFF,White,Panther_3.svg
128,Westfield,Blue Devils,#0504C3,Blue,#FFFFFF,White,#000000,Black,Devil 1.svg
10,Westwood,Cardinals,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Cardinal 1.svg
119,Whippany Park,Wildcats,#CC0022,Scarlet Red,#FFFFFF,White,#000000,Black,Wildcat.svg
303,Williamstown,Braves,#034CB2,Royal Blue,#FFFFFF,White,#000000,Black,Indian.svg
265,Willingboro,Chimeras,#034CB2,Royal Blue,#CC0022,Scarlet Red,#FFFFFF,White,Chimera.svg
304,Winslow,Eagles,#00824B,Kelly Green,#FFFFFF,White,#000000,Black,Eagle 2.svg
187,Woodbridge,Barrons,#222222,Black,#CC0022,Scarlet Red,#FFFFFF,White,Barron.svg
295,Woodstown,Wolverines,#1328A4,Blue,#F09817,Orange,#FFFFFF,White,Wolverine.svg
